2013-10-09 11:22:43,767 | WARN  | Transport Connection to: tcp://127.0.0.1:39393 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39393@60000
2013-10-09 11:23:52,983 | WARN  | Transport Connection to: tcp://127.0.0.1:39400 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:39400@60000
2013-10-09 11:27:56,665 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7e973f09: startup date [Wed Oct 09 11:27:56 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-09 11:27:57,506 | INFO  | PListStore:[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-09 11:27:57,529 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:27:57,859 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:27:57,898 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:27:57,907 | INFO  | Recovery replayed 5 operations from the journal in 0.026 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-09 11:27:58,077 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-39497-1381289277938-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:27:58,139 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-09 11:27:58,140 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-09 11:27:58,145 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-09 11:27:58,145 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-09 11:27:58,147 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-39497-1381289277938-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-09 11:27:58,147 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
